'em	ah m #1
collared	k aa l er d
colleagues	k aa l iy g z
collection	k ah l eh k sh ih n
collects	k ah l eh k t s
colleges	k aa l ih jh z
collie	k aa l iy #1
collusion	k ah l uw sh ih n
color	k ah l er #1
colored	k ah l er d
colorful	k ah l er f l
colossal	k ah l aa s l
column	k aa l m
combine	k ah m b ay n
combustion	k ah m b ah s ch n
come	k ah m #1
comes	k ah m z
coming	k ah m ih ng
command	k ah m ae n d
comment	k aa m eh n t
commercial	k ah m er sh l
common	k aa m ah n #1
commonplace	k aa m ah n p l ey s
communism	k aa m y uw n ih z m
community	k ah m y uw n ih t iy
compact	k aa m p ae k t
companions	k ah m p ae n y ih n z
company	k ah m p ah n iy #1
company's	k ah m p ah n iy z
comparable	k aa m p er ah b l
compare	k ah m p ae r #1
comparison	k ah m p ae r ih s ih n
compensation	k aa m p ah n s ey sh ih n
competently	k aa m p ah t ih n t l iy
competing	k ah m p iy t ih ng
competition	k aa m p ah t ih sh ih n
competitive	k ah m p eh t ih t ih v
competitors	k ah m p eh t ih t er z
compile	k ah m p ay l
complete	k ah m p l iy t #1
completely	k ah m p l iy t l iy
complex	k ah m p l eh k s #1
complexity	k ah m p l eh k s ih t iy
compliance	k ah m p l ay ih n s
complicated	k aa m p l ah k ey t ih d
complicity	k ah m p l ih s ih t iy
compose	k ah m p ow z
composition	k aa m p ah z ih sh ih n #1
compositions	k aa m p ah z ih sh ih n z
compost	k aa m p ow s t
composure	k ah m p ow sh er
compound	k aa m p aw n d #1
compounded	k aa m p aw n d ih d
compounds	k aa m p aw n d z
compresses	k aa m p r eh s ih z
compulsion	k ah m p ah l sh ih n
compulsory	k ah m p ah l s er iy
computer	k ah m p y uw t er #1
computers	k ah m p y uw t er z
comrades	k aa m r ae d z
conceivably	k ah n s iy v ah b l iy
conceived	k ah n s iy v d
concept	k aa n s eh p t
concern	k ah n s er n #1
concerns	k ah n s er n z
concert	k aa n s er t
concessionaire	k ah n s eh sh ih n ae r
conclusion	k ah n k l uw sh ih n #1
conclusions	k ah n k l uw sh ih n z
concrete	k aa n k r iy t
concurrent	k ah n k er ah n t
condemns	k ah n d eh m z
condition	k ah n d ih sh ih n #1
conditions	k ah n d ih sh ih n z
confabulation	k ah n f ae b y uh l ey sh ih n
conferences	k aa n f er ah n s ih z
confidence	k aa n f ih d ih n s
confident	k aa n f ih d ih n t
confidential	k aa n f ih d eh n sh l
configuration	k ah n f ih g y er ey sh ih n
confines	k aa n f ay n z
confirm	k ah n f er m
confirmation	k aa n f er m ey sh ih n #1
conformational	k aa n f er m ey sh ih n l
conformists	k ah n f aa r m ih s t s
confronted	k ah n f r ah n t ih d
confusion	k ah n f y uw sh ih n
congestion	k ah n jh eh s ch ih n
congratulate	k ah n g r ae ch ah l ey t
congregation	k aa ng g r ih g ey sh ih n
conjured	k aa n jh er d
connoisseur	k aa n ih s er
conscience	k aa n sh ih n s
consequences	k aa n s ih k w eh n s ih z
conservatism	k ah n s er v ah t ih z m
consider	k ah n s ih d er #1
considerable	k ah n s ih d er ah b l #1
considerably	k ah n s ih d er ah b l iy
considered	k ah n s ih d er d
considering	k ah n s ih d er ih ng
consistently	k ah n s ih s t ih n t l iy
consists	k ah n s ih s t s
consolidation	k ah n s aa l ah d ey sh ih n
conspicuous	k ah n s p ih k y uw ah s
constantly	aa aa n s t ih n t l iy
construction	k ah n s t r ah k sh ih n #1
constructions	k ah n s t r ah k sh ih n z
consume	k ah n s uw m #1
consumers	k ah n s uw m er z
consuming	k ah n s uw m ih ng
consumption	k ah n s ah m p sh ih n
contact	k aa n t ae k t
contagious	k ah n t ey jh ih s
contain	k ah n t ey n #1
contained	k ah n t ey n d
container	k ah n t ey n er
contains	k ah n t ey n z
contemporary	k ah n t eh m p er eh r iy
contentedly	k ah n t eh n t ih d l iy
continental	k aa n t n eh n t l
continue	k ah n t ih n y uw #1
continued	k ah n t ih n y uw d
continues	k ah n t ih n y uw z
continuing	k ah n t ih n y uw ih ng
continuous	k ah n t ih n y uw ah s #1
continuously	k ah n t ih n y uw ah s l iy
contradictorily	k aa n t r ah d ih k t aa r ah l iy
contrary	k aa n t r eh r iy
contrast	k aa n t r ae s t
contribute	k ah n t r ih b y uw t #1
contributed	k ah n t r ih b y uw t ih d
contributions	k aa n t r ah b y uw sh ih n z
contributory	k ah n t r ih b y uw t aa r iy
control	k ah n t r ow l #1
controlled	k ah n t r ow l d
controls	k ah n t r ow l z
convenient	k ah n v iy n y n t
converted	k ah n v er t ih d
convey	k ah n v ey
conviction	k ah n v ih k sh ih n
convince	k ah n v ih n s #1
convincing	k ah n v ih n s ih ng
cook	k uh k #1
cooked	k uh k t #1
cooked-over	k uh k t ow v er
cookies	k uh k iy z
cooking	k uh k ih ng
cool	k uw l
cooperated	k ow aa p er ey t ih d
cooperates	k ow aa p er ey t s
cooperation	k ow aa p er ey sh ih n
cooperative	k ow aa p er ih t ih v
cop	k aa p #1
copper	k aa p er
copra	k ow p r ah
copy	k aa p iy
cordial	k aa r jh l
corduroy	k aa r d er oy
corn	k aa r n #1
corner	k aa r n er #1
cornered	k aa r n er d
cornmeal	k aa r n m iy l
corollaries	k aa r ah l eh r iy z
correct	k er eh k t
corrugated	k aa r ah g ey t ih d
corsage	k aa r s aa sh
cory	k aa r iy #1
cosmetics	k aa z m eh t ih k s
cost	k aa s t #1
costly	k aa s t l iy
costs	k aa s t s
costume	k aa s t uw m #1
costumes	k aa s t uw m z
cottage	k aa t ih jh
cotton	k aa t n
cough	k aa f #1
could	k uh d #1
could've	k uh d ah v
couldn't	k uh d n t
count	k aw n t #1
counted	k aw n t ih d
counties	k aw n t iy z
country	k ah n t r iy
countryside	aa ah n t r iy s ay d
county	k aw n t iy #1
couples	k ah p l z
courier	k er iy er
course	k aa r s #1
court	k aa r t #2
courts	k aa r t s
courtyard	k aa r t y aa r d
cover	k ah v er #1
coverage	k ah v er ih jh
covered	k ah v er d
covers	k ah v er z
cow	k aw #1
coward	k aw er d
cowboy	k aw b oy #1
cowboy's	k aw b oy z
cowling	k aw l ih ng
cows	k aw z
coy	k oy #1
coyote	k ay ow t iy
crab	k r ae b
crack	k r ae k #1
cracked	k r ae k t
craft	k r ae f t
cranberry	k r ae n b eh r iy
crash	k r ae sh #1
crashed	k r ae sh t
crashing	k r ae sh ih ng
crave	k r ey v
crawling	k r aa l ih ng
crayons	k r ey aa n z
crazily	k r ey z ih l iy
crazy	k r ey z iy
cream	k r iy m
create	k r iy ey t #1
created	k r iy ey t ih d
creation	k r iy ey sh ih n
credit	k r eh d ih t
creeping	k r iy p ih ng
creole	k r iy ow l
crept	k r eh p t
crest	k r eh s t #1
crestfallen	k r eh s t f aa l ih n
crew	k r uw #1
crimson	k r ih m z ih n
crisis	k r ay s ih s
crisp	k r ih s p
criss-	k r ih s #1
criss-cross	k r ih s k r aa s #1
crisscrossed	k r ih s k r aa s t
critical	k r ih t ih k l
crooked	k r uh k ih d
crops	k r aa p s
cross	k r aa s #1
crossed	k r aa s t
crossings	k r aa s ih ng z
crossroads	k r aa s r ow d z
crowd	k r aw d
crown	k r aw n
crucial	k r uw sh l
crucified	k r uw s ah f ay d
crude	k r uw d #1
crudely	k r uw d l iy
cruel	k r uw l #1
cruelty	k r uw l iy
crunched	k r ah n ch t
crushed	k r ah sh t
crushers	k r ah sh er z
cry	k r ay #1
crystalline	k r ih s t l ay n
crystallizing	k r ih s t l ay z ih ng
cubic	k y uw b ih k
cuisine	k w ih z iy n
cultivated	k ah l t ih v ey t ih d
cultural	k ah l ch er ah l
cultures	k ah l ch er z
cupcakes	k ah p k ey k s
cups	k ah p s
cure	k y uh r #1
cured	k y uh r d
curiosity	k y uh r iy aa s ih t iy
curious	k y uh r iy ah s
curiously	k y uh r iy ih s l iy
curly	k er l iy
current	k er ah n t
curry	k er iy #1
curve	k er v #1
curves	k er v z
custody	k ah s t ih d iy
customer	k ah s t ah m er #1
customers	k ah s t ah m er z
cut	k ah t #1
cutbacks	k ah t b ae k s
cuts	k ah t s
cutting	k ah t ih ng
cyclical	s ih k l ih k l
cynics	s ih n ih k s
dad	d ae d
daily	d ey l iy
damage	d ae m ih jh #1
damaged	d ae m ih jh d
damp	d ae m p
dance	d ae n s #1
dancers	d ae n s er z
dances	d ae n s ih z
danger	d ey n jh er #1
dangerous	d ey n jh er ih s
dangers	d ey n jh er z
danny	d ae n iy
daphne's	d ae f n iy z
dark	d aa r k #1
darkness	d aa r k n ih s
darned	d aa r n d
dash	d ae sh
data	d ey t ah
date	d ey t #1
davy	d ey v iy
dawn	d aa n
day	d ey #1
daydreamed	d ey d r iy m d
days	d ey z
daytime	d ey t ay m
dead	d eh d #1
deadline	d eh d l ay n
deal	d iy l #1
dealers	d iy l er z
deans	d iy n z
dear	d ih r #1
death	d eh th
debts	d eh t s
debut	d ey b y uw
decadent	d eh k ih d ih n t
decaying	d ah k ey ih ng
decays	d ah k ey z
deceitful	d ih s iy t f l
deceiving	d ih s iy v ih ng
december	d ih s eh m b er
decide	d ih s ay d #1
decided	d ih s ay d ih d
decides	d ih s ay d z
decisions	d ih s ih sh ih n z
decisive	d ah s ay s ih v
deck	d eh k #1
decking	d eh k ih ng
declared	d ah k l ae r d
declining	d ah k l ay n ih ng
decorate	d eh k er ey t #1
decorated	d eh k er ey t ih d
decorative	d eh k er ih t ih v
decorator	d eh k er ey t er
decrease	d iy k r iy s
deduct	d ah d ah k t #1
deductible	d ah d ah k t ah b l
deed	d iy d
deep	d iy p #1
deeper	d iy p er
deeply	d iy p l iy
deer	d ih r #2
defects	d iy f eh k t s
defend	d ah f eh n d #1
defended	d ah f eh n d ih d
defense	d ah f eh n s #1
defensive	d ah f eh n s ih v
defiantly	d ah f ay ah n t l iy
define	d ih f ay n
definite	d eh f ah n ih t #1
definitely	d eh f ah n ih t l iy
degree	d ah g r iy #1
degrees	d ah g r iy z
delegated	d eh l ah g ey t ih d
delete	d ah l iy t
delicate	d eh l ih k ih t
delicious	d ah l ih sh ih s
delight	d ah l ay t #1
delightful	d ah l ay t f l
delineating	d ah l ih n iy ey t ih ng
delivering	d ah l ih v er ih ng
demand	d ah m ae n d #1
demanded	d ah m ae n d ih d
demands	d ah m ae n d z
demineralization	d ah m ih n er l ay z ey sh ih n
demonstration	d eh m ah n s t r ey sh ih n
dense	d eh n s #1
density	d eh n s ih t iy
denunciation	d ih n ah n s iy ey sh ih n
deny	d ah n ay
departments	d ah p aa r t m ah n t s
departure	d ah p aa r ch er
depend	d ah p eh n d
depicts	d ih p ih k t s
depletion	d ih p l iy sh ih n
depreciation	d ih p r iy sh iy ey sh ih n
deprive	d ih p r ay v
deputy	d eh p y uw t iy
dereliction	d eh r ah l ih k sh ih n
derived	d er ay v d
deriving	d er ay v ih ng
describe	d ih s k r ay b #1
described	d ih s k r ay b d
desegregate	d ih s eh g r ih g ey t
desegregation	d iy s eh g r ih g ey sh ih n
deserves	d ih z er v z
design	d ih z ay n #1
designer	d ih z ay n er
desirable	d ih z ay er ah b l
desire	d ih z ay er #1
desires	d ih z ay er z
desk	d eh s k
desolation	d eh s ah l ey sh ih n
despair	d ih s p ae r
desperately	d eh s p er ah t l iy
despised	d ih s p ay z d
despite	d ih s p ay t
dessert	d ih z er t #1
desserts	d ih z er t s
destiny	d eh s t ih n iy
destroy	d ih s t r oy #1
destroying	d ih s t r oy ih ng
detail	d iy t ey l #1
detailed	d iy t ey l d
details	d iy t ey l z
detectable	d ih t eh k ah b l
detective's	d ih t eh k t ih v z
determination	d ih t er m ah n ey sh ih n
determine	d ih t er m ah n #1
determined	d ih t er m ah n d
detract	d ih t r ae k t
develop	d ah v eh l ah p #1
developed	d ah v eh l ah p t
developing	d ah v eh l ah p ih ng
development	d ah v eh l ah p m ah n t
device	d ah v ay s
devour	d ah v aw r
dew	d uw #1
diagnosed	d ay ih g n ow s t
diagnosis	d ay ih g n ow s ih s
diagonally	d ay ae g ih n ah l iy
diagram	d ay ah g r ae m
diane	d ay ae n
diarrhoea	d ay er iy ah
dice	d ay s
dictators	d ih k t ey t er z
dictionary	d ih k sh ih n eh r iy
did	d ih d #1
didn't	d ih d n t
die	d ay #1
died	d ay d
diet	d ay ah t
differ	d ih f er #1
difference	d ih f er ah n s #1
differences	d ih f er ah n s ih z
different	d ih f er ah n t #1
differentiate	d ih f er eh n sh iy ey t
differently	d ih f er ah n t l y
difficult	d ih f ih k ah l t
dig	d ih g #1
dignity	d ih g n ih t iy
dim	d ih m
dime	d ay m #1
dimensions	d ah m eh n sh ih n z
dimes	d ay m z
diminish	d ah m ih n ih sh #1
diminishing	d ah m ih n ih sh ih ng
dingo	d ih ng g ow
dinner	d ih n er
diploma	d ah p l ow m ah
direction	d er eh k sh ih n #1
directional	d er eh k sh ih n l
directions	d er eh k sh ih n z
director	d er eh k t er #1
directory	d er eh k t er iy
dirt	d er t #1
dirty	d er t iy
disappeared	d ih s ah p iy r d
disappointed	d ih s ah p oy n t ih d
disapproval	d ih s ah p r uw v l
disapproves	d ih s ah p r uw v z
disaster	d ih z ae s t er
discard	d ih s k aa r d
discipline	d ih s ah p l ih n #1
disciplined	d ih s ah p l ih n d
disclaimer	d ih s k l ey m er
discount	d ih s k aw n t
discouraged	d ih s k er ih jh d
discouraging	d ih s k er ih jh ih ng
discovered	d ih s k ah v er d
discretionary	d ih s k r eh sh ih n eh r iy
discussion	d ih s k ah sh ih n #1
discussions	d ih s k ah sh ih n z
disease	d ih z iy z #1
diseases	d ih z iy z ih z
disguise	d ih s g ay z
disgusting	d ih s g ah s t ih ng
dish	d ih sh #1
dishes	d ih sh ih z
disk	d ih s k #1
disliked	d ih s l ay k t
dislikes	d ih s l ay k s
disobeyed	d ih s ow b ey d
dispel	d ih s p eh l
dispensing	d ih s p eh n s ih ng
dispersed	d ih s p er s t
displacement	d ih s p l ey s m ah n t
display	d ih s p l ey #1
displayed	d ih s p l ey d
dispute	d ih s p y uw t #1
disputes	d ih s p y uw t s
disregarding	d ih s r ih g aa r d ih ng
disrepair	d ih s r ih p ae r
dissolve	d ih z aa l v
distance	d ih s t ih n s #1
distances	d ih s t ih n s ih z
distaste	d ih s t ey s t
distinct	d ih s t ih ng t
distinguished	d ih s t ih ng g w ih sh t
distorted	d ih s t aa r t ih d
distracted	d ih s t r ae k t ih d
distress	d ih s t r eh s
distributed	d ih s t r ih b y uw t ih d
districts	d ih s t r ih k t s
disturb	d ih s t er b
ditches	d ih ch ih z
dive	d ay v
diversity	d ah v er s ih t iy
divided	d ah v ay d ih d
divinities	d ah v ih n ih t iy z
division	d ah v ih sh ih n
divorce	d ah v aa r s #1
divorced	d ah v aa r s t
divorcee	d ah v aa r s ey
do	d uw #2
doctor	d aa k t er #1
doctors	d aa k t er z
doctrine	d aa k t r ah n
documented	d aa k y uw m eh n t ih d
documents	d aa k y uw m ah n t s
dodging	d aa jh ih ng
does	d ah z #1
doesn't	d ah z n t
dog	d aa g #1
dogmatically	d aa g m ae t ih k ah l iy
dogs	d aa g z
doin'	d uw ih n
doing	d uw ih ng
doll	d aa l #1
dollar	d aa l er #1
dollar-and-cents	d aa l er ae n d s eh n t s
dollars	d aa l er z #1
dollars-and-cents	d aa l er z ae n d s eh n t s
dolphins	d aa l f ah n z
dome	d ow m
domestic	d ah m eh s t ih k
dominant	d aa m ih n ih n t
dominated	d aa m ih n ey t ih d
don't	d ow n t
donate	d ow n ey t #1
donated	d ow n ey t ih d
done	d ah n #1
door	d aa r #1
doors	d aa r z
doorways	d aa r w ey z
dormitories	d aa r m ah t aa r iy z
doses	d ow s ih z
double	d ah b l #1
double-glaze	d ah b l g l ey z
doubt	d aw t
dough	d ow #1
doused	d aw s t
down	d aw n #1
downpour	d aw n p aa r
downstairs	d aw n s t ae r z
downtown	d aw n t aw n
downward	d aw n w er d
dozen	d ah z n #1
drain	d r ey n
dramatic	d r ah m ae t ih k
drank	d r ae ng k
drastically	d r ae s t ih k l iy
draw	d r aa #1
drawing	d r aa ih ng
drawled	d r aa l d
drawn	d r aa n
dream	d r iy m #1
dreams	d r iy m z
drenched	d r eh n ch t
dress	d r eh s #1
dressing	d r eh s ih ng
dressy	d r eh s iy
drew	d r uw
dried	d r ay d
drift	d r ih f t #1
drifted	d r ih f t ih d
drifting	d r ih f t ih ng
drink	d r ih ng k #1
drinkers	d r ih ng k er z
drive	d r ay v #1
driven	d r ih v ah n
drivers	d r ay v er z
driving	d r ay v ih ng
drop	d r aa p #1
dropped	d r aa p t
drops	d r aa p s
drought	d r aw t
drove	d r ow v
drug	d r ah g #1
drug's	d r ah g z #1
drugs	d r ah g z #2
drugstore	d r ah g s t aa r
drunk	d r ah ng k #1
drunkard	d r ah ng k er d #1
drunkards	d r ah ng k er d z
drunkenness	d r ah ng k ah n ih s
dry	d r ay #1
drying	d r ay ih ng
dubious	d uw b iy ah s
duck	d ah k #1
ducks	d ah k s
due	d uw #3
dug	d ah g #1
dull	d ah l #1
dumb	d ah m #1
dumped	d ah m p t
duplicate	d uw p l ih k ih t
during	d uh r ih ng
dust	d ah s t #1
dusting	d ah s t ih ng
dutch	d ah ch
duty	d uw t iy
dwarf	d w aa r f
dwell	d w eh l
dyeing	d ay ih ng #1
dying	d ay ih ng #2
dynamics	d ay n ae m ih k s
dynastic	d ay n ae s t ih k
each	iy ch
eagerly	iy g er l iy
eagerness	iy g er n ih s
ear	ih r #1
earlier	er l iy er
early	er l iy #1
earn	er n #1
earnestly	er n ih s t l iy
ears	ih r z
earth	er th #1
earth's	er th s
earthenware	er th ah n w ae r
earthly	er th l iy
earthquake	er th k w ey k
ease	iy z #1
eased	iy z d
easier	iy z iy er
easily	iy z ah l iy
eastern	iy s t er n
easy	iy z iy #1
easygoing	iy z iy g ow ih ng
eat	iy t #1
eaten	iy t n
eating	iy t ih ng
eccentricity	eh k s eh n t r ih s ih t iy
echo	eh k ow
economic	eh k ih n aa m ih k #1
economically	eh k ih n aa m ih k l iy
economy	ih k aa n ah m iy
ecumenical	eh k y uh m eh n ih k l
edge	eh jh #1
edges	eh jh ih z
edgy	eh d jh iy
education	eh jh ih k ey sh ih n #1
educational	eh jh ih k ey sh ih n l
effect	ih f eh k t #1
effective	ih f eh k t ih v
effects	ih f eh k t s
efficiency	ih f ih sh ih n s iy
efficient	ih f ih sh ih n t
effort	eh f er t
egg	eh g #1
egg-sized	eh g s ay z d
eggs	eh g z
ego	iy g ow #1
egotist	iy g ow t ih s t
eight	ey t #2
eighteenth	ey t iy n th
either	iy dh er
elaborately	ah l ae b er ah t l iy
elbowing	eh l b ow ih ng
elderly	eh l d er l iy
election	ah l eh k sh ih n
electric	ah l eh k t r ih k #1
electrical	ah l eh k t r ih k l
electricity	ah l eh k t r ih s ih t iy
electron	ah l eh k t r aa n #1
electronic	ah l eh k t r aa n ih k
electrostatic	ah l eh k t r ah s t ae t ih k
elegant	eh l ih g ih n t
element	eh l ah m ah n t #1
elementary	eh l ah m eh n t er iy #1
elementary-school	eh l ah m eh n t er iy s k uw l
elements	eh l ah m ah n t s
elevator	eh l ah v ey t er
eleven	ah l eh v ah n
ellipsoids	ah l ih p s oy d
elm	eh l m
elongation	ih l aa ng g ey sh ih n
else	eh l s #1
elsewhere	eh l s w ae r
embankment	ih m b ae ng k m ah n t
emblem	eh m b l ah m
embodiment	eh m b aa d ih m ah n t
embracing	eh m b r ey s ih ng
emerge	ih m er jh #1
emergency	ih m er jh ih n s iy
emotion	ih m ow sh ih n #1
emotional	ih m ow sh ih n l
emotionally	ih m ow sh ih n ah l iy
emotions	ih m ow sh ih n z
emperor	eh m p er er
emphasis	eh m f ah s ih s
emphasize	eh m f ah s ay z #1
emphasized	eh m f ah s ay z d
emphysema	eh m f ah z iy m aa
empirical	ih m p ih r ih k l
employee	ih m p l oy iy #1
employees	ih m p l oy iy z
employment	ih m p l oy m ah n t
empty	eh m p t iy
enabling	ih n ey b l ih ng
enact	ih n ae k t
enamel	ih n ae m l
encamped	ih n k ae m p t
enclosed	eh n k l ow z d
encountered	ih n k aw n t er d
encourage	ih n k er ih jh #1
encouraged	ih n k er ih jh d
encyclopedias	ih n s ay k l ah p iy d iy ah z
end	eh n d #1
endeavored	ih n d eh v er d
ended	eh n d ih d
endosperm	eh n d ow s p er m
ends	eh n d z
endurance	eh n d uh r n s
enemy	eh n ah m iy
energy	eh n er jh iy
engine	eh n jh ih n #1
engineer	eh n jh ih n ih r #1
engineering	eh n jh ih n ih r ih ng
engineers'	eh n jh ih n ih r z
engulfed	eh n g ah l f t
enigma	ih n ih g m ah
enjoy	eh n jh oy #1
enjoyed	eh n jh oy d
enlightenment	ih n l ay t n m ah n t
enlisted	ih n l ih s t ih d
enormous	ih n aa r m ah s
enough	ih n ah f #1
enrich	ih n r ih ch
ensue	ih n s uw
enter	eh n t er #1
entertaining	eh n t er t ey n ih ng
enthusiastic	ih n th uw z iy ae s t ih k
entire	ih n t ay er #1
entirely	ih n t ay er l iy
entitle	ih n t ay t l
entity	eh n ih t iy
entries	eh n t r iy z
entropy	eh n t r ah p iy
entry	eh n t r iy #1
envelope	eh n v ah l ow p
environment	eh n v ay r ah n m ah n t #1
environments	eh n v ay r ah n m ah n t s
enzyme	eh n z ay m
ephemeral	eh f eh m er l
epidemic	eh p ah d eh m ih k
episode	eh p ah s ow d
equal	iy k w l #1
equally	iy k w l iy
equation	ih k w ey sh ih n
equipment	ah k w ih p m ah n t
equipped	ah k w ih p t
equivalent	ih k w ih v l ah n t
era	eh r ah
erect	ih r eh k t
erotic	ih r aa t ih k
errors	eh r er z
eruption	ih r ah p sh ih n
escalator	eh s k ah l ey t er
escape	eh s k ey p
esoteric	eh s ah t eh r ih k
especially	ih s p eh sh ah l iy
essay	eh s ey
essential	ih s eh n sh l
essentially	ih s eh n sh ah l iy
establish	ih s t ae b l ih sh #1
establishment	ih s t ae b l ih sh m ah n t
estimate	eh s t ih m ih t #1
estimates	eh s t ih m ih t s
etc.	eh t s eh t er ah
eternal	ih t er n l
eternity	ih t er n ih t iy
etiquette	eh t ih k ih t
evacuate	ih v ae k y uw ey t
evaluate	ih v ae l y uw ey t #1
evaluated	ih v ae l y uw ey t ih d
evaluation	ih v ae l y uw ey sh ih n
evasive	ih v ey s ih v
even	iy v ah n #1
evening	iy v n ih ng
evenly	iy v ah n l iy
events	ah v eh n t s
eventualities	ih v eh n ch uw ae l ih t iy z
eventually	ih v eh n ch uw ah l iy
ever	eh v er #1
ever-increasing	eh v er ih n k r iy s ih ng
every	eh v r iy #1
everybody	eh v r iy b ah d iy
everyone	eh v r iy w ah n
everything	eh v r iy th ih ng
evidence	eh v ih d ih n s
evident	eh v ih d ih n t
evocative	ih v aa k ah t ih v
evolve	ih v aa l v
exacerbated	ih g z ae s er b ey t ih d
exacerbations	ih g z ae s er b ey sh ih n z
exactly	ih g z ae k t l iy
exaggerated	ih g z ae jh er ey t ih d
exam	ih g z ae m #1
examination	ih g z ae m ih n ey sh ih n
examined	ih g z ae m ih n d
example	ih g z ae m p l #1
examples	ih g z ae m p l z
exboyfriend	eh k s b oy f r eh n d
excellent	eh k s l ah n t
except	ih k s eh p t
exception	ih k s eh p sh ih n
excess	eh k s eh s
exchange	ih k s ch ey n jh #1
exchanged	ih k s ch ey n jh d
excited	ih k s ay t ih d
excitement	ih k s ay t m ah n t
exciting	ih k s ay t ih ng
exclaiming	ih k s k l ey m ih ng
excluded	ih k s k l uw d ih d
exclusive	ih k s k l uw s ih v
execute	eh k s ih k y uw t
execution	eh k s ih k y uw sh ih n
executive	ih g z eh k y uw t ih v
exercise	eh k s er s ay z #1
exercises	eh k s er s ay z ih z
exhibited	ih g z ih b ah t ih d
exhibits	ih g z ih b ah t s
exhusband	eh k s hh ah z b ah n d
exist	ih g z ih s t #1
existed	ih g z ih s t ih d
existence	ih g z ih s t ih n s
existing	ih g z ih s t ih ng
exists	ih g z ih s t s
exotic	ih g z aa t ih k
expect	eh k s p eh k t #1
expectations	eh k s p eh k t ey sh ih n z
expected	eh k s p eh k t ih d
expecting	eh k s p eh k t ih ng
expects	eh k s p eh k t s
expense	eh k s p eh n s #1
expensive	eh k s p eh n s ih v
experience	ih k s p ih r iy ah n s #1
experienced	ih k s p ih r iy ah n s t
experiment	eh k s p eh r ah m ah n t #1
experiment's	eh k s p eh r ah m ah n t s #1
experimental	eh k s p eh r ah m eh n t ah l
experiments	eh k s p eh r ah m ah n t s #2
expertise	eh k s p er t iy z
expertly	eh k s p er t l iy
experts	eh k s p er t s
explain	ih k s p l ey n #1
explains	ih k s p l ey n z
explanation	eh k s p l ih n ey sh ih n
explicitly	ih k s p l ih s ih t l iy
exploring	ih k s p l aa r ih ng
explosion	ih k s p l ow sh ih n
export	eh k s p aa r t
exposed	ih k s p ow z d
exposure	ih k s p ow sh er
expression	ih k s p r eh sh ih n
expressway	ih k s p r eh s w ey
exquisite	eh k s k w ih z ih t
extended	ih k s t eh n d ih d
extending	ih k s t eh n d ih ng
extensive	ih k s t eh n s ih v
extent	ih k s t eh n t
extra	eh k s t r ah
extraordinary	ih k s t r aa r d n eh r iy
extremely	ih k s t r iy m l iy
exultantly	ih g z ah l t n t l iy
eye	ay #1
eyebrow	ay b r aw
eyedrops	ay d r aa p s
eyelids	ay l ih d z
eyes	ay z
eyestrain	ay s t r ey n
fabric	f ae b r ih k #1
fabrics	f ae b r ih k s
face	f ey s #1
faces	f ey s ih z
fact	f ae k t #1
factions	f ae k sh ih n z
factors	f ae k t er z
facts	f ae k t s
faculty	f ae k l t iy
faded	f ey d ih d
fail	f ey l #1
failed	f ey l d
fails	f ey l z
failure	f ey l y er
faint	f ey n t
fair	f ae r #1
fairly	f ae r l iy
fairy	f ae r iy
faith	f ey th
fall	f aa l #1
fallen	f aa l ih n
fallout	f aa l aw t
falls	f aa l z
false	f aa l s
falters	f aa l t er z
fame	f ey m #1
familiar	f ah m ih l y er
familiarity	f ah m ih l y ae r ah t iy
family	f ae m l iy
famous	f ey m ah s
fan	f ae n #1
fancier	f ae n s iy er
fancy	f ae n s iy #1
fangs	f ae ng z
far	f aa r #1
farm	f aa r m #1
farmer's	f aa r m er z #1
farmers	f aa r m er z #2
farmhouses	f aa r m hh aw z ih z
farmland	f aa r m l ae n d
farmyard	f aa r m y aa r d
farther	f aa r dh er
fasciculations	f ah s ih k y ah l ey sh ih n z
fascinating	f ae s n ey t ih ng
fashion	f ae sh ih n #1
fashioned	f ae sh ih n d
fast	f ae s t #1
fast-closing	f ae s t aa l ow z ih ng
fast-opening	f ae s t ow p ah n ih ng
faster	f ae s t er
fat	f ae t
father	f aa dh er #1
father's	f aa dh er z #1
fathers	f aa dh er z #2
fatigue	f ah t iy g #1
fatigued	f ah t iy g d
fatigues	f ah t iy g z
fault	f aa l t #1
faults	f aa l t s
favor	f ey v er #1
favorable	f ey v er ah b l
favorite	f ey v er ih t
fawn	f aa n
fear	f ih r #1
feared	f ih r d
fearful	f ih r f l
fears	f ih r z
feasible	f iy z ah b l
feast	f iy s t
feather	f eh dh er #1
feathered	f eh dh er d
feathers	f eh dh er z
features	f iy ch er z
feed	f iy d
feel	f iy l #1
feeling	f iy l ih ng #1
feelings	f iy l ih ng z
feels	f iy l z
feet	f iy t
fell	f eh l #1
fella	f eh l ah
fellowship	f eh l ow sh ih p
felt	f eh l t
female	f iy m ey l
fenced	f eh n s t
fences	f eh n s ih z
fermented	f er m eh n t ih d
ferries	f eh r iy z
fertilizers	f er t ah l ay z er z
fever	f iy v er #1
feverishly	f iy v er ih sh l iy
few	f y uw #1
fewer	f y uw er
fibers	f ay b er z
fibrosis	f ay b r ow s ih s
fiction	f ih k sh ih n
fiddles	f ih d l z
field	f iy l d #1
fields	f iy l d z
fieldwork	f iy l d w er k
fiercely	f ih r s l iy
fiercest	f ih r s ih s t
fiery	f ay r iy
